post_id,reason
ID:2022525157030625782,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022529691178127424,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022535504420573673,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022537035182149742,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022539195538170167,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022540506996388195,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022540557969654063,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022545151542071692,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022546977138033116,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022548740826071146,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022549130242068779,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022549241256956296,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022551179486753199,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022556328754057287,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022567290034884999,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022567843414577581,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022575818086715464,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022579050057994692,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022582805323260075,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022584680676200583,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022586002427285963,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022591099848786143,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022593607602147673,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022595503024984075,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022600203652731221,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022601111086207003,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022603307576127836,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022606181982953784,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022608090181615860,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022612680415358988,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022614076229394804,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022620571469779265,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022628734885679258,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022631645652881667,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022634874046419105,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022638637444366842,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022643455793803312,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022646935296053550,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022654331850518665,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022654406970478875,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022664838414242020,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022673098248737110,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022679233752109455,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022705008219947268,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022715280670204152,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022870696192508040,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022899494237671538,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022907352350179802,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022937015701115129,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022979746062348571,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2022985699746840776,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023037434024558914,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023040445358706826,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023067145710821433,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023170754318360974,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023184735443595521,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023215795728511087,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023227761259950228,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023280399884194189,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023318603823767747,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023327152662601871,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023329212522958959,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023352318268510567,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023356770626961557,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023360934455177721,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023361038977294832,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023361421548065108,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023363259110396268,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023366103104430202,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023369250182975812,RELAXED_KEYWORD_STILL_EXCLUDED
ID:2023374075226382435,RELAXED_KEYWORD_STILL_EXCLUDED
